dimensión,tema,tipo,detalle,código_recurso,url_web,url_curso,url_pdf,url_word,url_excel
Ambiente,Suelo,Curso,Curso: Suelo,"P020, 
P021, P022, P023, P024, P025, P026, P027, P028, P029, P030, 
P031, P032, P033, P034, P035",https://ciruelacertificada.cl/recurso/curso-gestion-sustentable-de-suelos/,https://www.chileagricola.cl/courses/estandar-sustentabilidad-industria-de-ciruelas-deshidratadas-gestion-sustentable-de-suelos/,,,
Ambiente,Biodiversidad,Curso,Curso: Biodiversidad,"P036, P037, P038, P039, P040, 
P041, P042, P043, P044, P045, P046",https://ciruelacertificada.cl/recurso/curso-biodiversidad/,https://www.chileagricola.cl/courses/81303/,,,
Ambiente,Insumos,Curso,Curso: Insumos,"P047, P048, P049, P050, 
P051, P052, P053, P054, P055, P056, P057",https://ciruelacertificada.cl/recurso/curso-gestion-sustentable-de-insumos/,https://www.chileagricola.cl/courses/81303-2-3/,,,
Ambiente,Residuos,Curso,Curso: Residuos,"P058, P059, P060, 
P061, P062, P063, P064, P065, P066, P067, P068, P069",https://ciruelacertificada.cl/recurso/curso-gestion-sustentable-de-residuos/,https://www.chileagricola.cl/courses/81303-2-2/,,,
Ambiente,Energía,Curso,Curso: Energía,"P070, 
P071, P072, P073, P074, P075, P076, P077, P078",https://ciruelacertificada.cl/recurso/curso-gestion-de-energia-y-eficiencia-energetica/,https://www.chileagricola.cl/courses/82151/,,,
Ambiente,GEI,Curso,Curso: GEI,"P079, P080, 
P081, P082, P083, P084, P085, P086",https://ciruelacertificada.cl/recurso/curso-gei-y-cambio-climatico/,https://www.chileagricola.cl/courses/81303-2/,,,
Calidad,Calidad,Curso,Curso: Calidad,"P087, P088, P089, P090, 
P091, P092, P093, P094, P095, P096, P097",https://ciruelacertificada.cl/recurso/curso-gestion-de-la-calidad/,https://www.chileagricola.cl/courses/81303-2-3-2/,,,
Calidad,Inocuidad,Curso,Curso: Inocuidad,"P098, P099, P100, 
P101, P102",https://ciruelacertificada.cl/recurso/curso-gestion-de-la-inocuidad-alimentaria/,https://www.chileagricola.cl/courses/81303-2-3-2-2/,,,
Gestión ,Viabilidad económica,Curso,Curso: Viabilidad económica,"P103, P104, P105, P106, P107, P108, P109, P110, 
P111, P112, P113",https://ciruelacertificada.cl/recurso/curso-viabilidad-economica/,https://www.chileagricola.cl/courses/estandar-sustentabilidad-industria-de-ciruelas-deshidratadas-viabilidad-economica/,,,
Social,CT y PS,Curso,Curso: Condiciones de trabajo y protección social,"P123, P124, P125, P126, P127, P128, P129, P130, 
P131, P132, P133, P134, P135, P136, P137, P138",https://ciruelacertificada.cl/recurso/curso-condiciones-laborales-y-proteccion-social/,https://www.chileagricola.cl/courses/82151-2-3/,,,
Social,Comunidades locales,Curso,Curso: Comunidades locales,"P114, P115, P116, P117, P118, P119, P120, 
P121, P122",https://ciruelacertificada.cl/recurso/curso-relacion-con-las-comunidades/,https://www.chileagricola.cl/courses/estandar-sustentabilidad-industria-de-ciruelas-deshidratadas-comunidades-locales-parte-1/,,,
Ética,Debida diligencia,Curso,Curso: Debida diligencia,"P139, P140, 
P141, P142, P143, P144, P145",https://ciruelacertificada.cl/recurso/curso-debida-diligencia-de-la-legislacion/,https://www.chileagricola.cl/courses/82151-2-2/,,,
General,General,Estándar,Estándar de Sustentabilidad para la Industria de Ciruelas Deshidratadas. Fase de Producción Primaria,"P001, P002, P003, P004, P005, P006, P007, P008, P009, P010, 
P011, P012, P013, P014, P015, P016, P017, P018, P019, P020, 
P021, P022, P023, P024, P025, P026, P027, P028, P029, P030, 
P031, P032, P033, P034, P035, P036, P037, P038, P039, P040, 
P041, P042, P043, P044, P045, P046, P047, P048, P049, P050, 
P051, P052, P053, P054, P055, P056, P057, P058, P059, P060, 
P061, P062, P063, P064, P065, P066, P067, P068, P069, P070, 
P071, P072, P073, P074, P075, P076, P077, P078, P079, P080, 
P081, P082, P083, P084, P085, P086, P087, P088, P089, P090, 
P091, P092, P093, P094, P095, P096, P097, P098, P099, P100, 
P101, P102, P103, P104, P105, P106, P107, P108, P109, P110, 
P111, P112, P113, P114, P115, P116, P117, P118, P119, P120, 
P121, P122, P123, P124, P125, P126, P127, P128, P129, P130, 
P131, P132, P133, P134, P135, P136, P137, P138, P139, P140, 
P141, P142, P143, P144, P145
",https://ciruelacertificada.cl/recurso/estandar-de-sustentabilidad-para-la-industria-de-ciruelas-deshidratadas-fase-de-produccion-primaria/,,https://ciruelacertificada.cl/wp-content/uploads/2024/11/EstandarPP.pdf,,
